latitude_deg,fuel_consumed_kg,final_mass_kg,earth_rotation_speed_m_s,solver_success
-90,4697820.90131,277179.09869,2.85750603496e-14,1
-85,4694612.71034,280387.289662,40.6715938689,1
-80,4691317.5138,283682.486201,81.0274937308,1
-75,4687956.40632,287043.593679,120.754832398,1
-70,4684561.33371,290438.666287,159.546345051,1
-65,4681163.00826,293836.991742,197.103044818,1
-60,4677794.9906,297205.009402,233.136754666,1
-55,4674498.22638,300501.773623,267.372458814,1
-50,4671308.55755,303691.442454,299.550445351,1
-45,4668265.7335,306734.266503,329.428221003,1
-40,4665411.89316,309588.106841,356.78218852,1
-35,4662785.53251,312214.467489,381.409086235,1
-30,4660422.52858,314577.471422,403.127197397,1
-25,4658357.77311,316642.226886,421.777343552,1
-20,4656622.60558,318377.394419,437.223681034,1
-15,4655265.44279,319734.557211,449.354322534,1
-10,4654253.24418,320746.755818,458.081806527,1
-5,4653638.98258,321361.01742,463.343436221,1
0,4653433.10076,321566.899238,465.101506907,1
5,4653638.98258,321361.01742,463.343436221,1
10,4654253.24418,320746.755818,458.081806527,1
15,4655265.44279,319734.557211,449.354322534,1
20,4656622.60558,318377.394419,437.223681034,1
25,4658357.77311,316642.226886,421.777343552,1
30,4660422.52858,314577.471422,403.127197397,1
35,4662785.53251,312214.467489,381.409086235,1
40,4665411.89316,309588.106841,356.78218852,1
45,4668265.7335,306734.266503,329.428221003,1
50,4671308.55755,303691.442454,299.550445351,1
55,4674498.22638,300501.773623,267.372458814,1
60,4677794.9906,297205.009402,233.136754666,1
65,4681163.00826,293836.991742,197.103044818,1
70,4684561.33371,290438.666287,159.546345051,1
75,4687956.40632,287043.593679,120.754832398,1
80,4691317.5138,283682.486201,81.0274937308,1
85,4694612.71034,280387.289662,40.6715938689,1
90,4697820.90131,277179.09869,2.85750603496e-14,1
