toggle,label,enabled,status,runtime_s,error_message
model_limitations,Model limitations,0,skipped,0.000171184539795,
smooth_integrator_benchmark,Smooth ODE integrator benchmark,1,completed,1.72718906403,
drift,Drift analysis,1,completed,3.13431787491,
theoretical_efficiency,Theoretical efficiency,0,skipped,5.72204589844e-06,
integrator_tolerance,Integrator tolerance,1,completed,18.3855280876,
collocation_defect_audit,Collocation defect audit,1,completed,9.53068876266,
grid_independence,Grid independence,1,completed,314.56953001,
bifurcation_2d_map,Bifurcation 2D map,0,skipped,6.19888305664e-06,
randomized_multistart,Randomized multi-start robustness,0,skipped,4.29153442383e-06,
monte_carlo_precision_target,Monte Carlo precision target,0,skipped,4.05311584473e-06,
q2_uncertainty_budget,Q2 uncertainty budget,0,skipped,3.09944152832e-06,
q7_conclusion_support,Q7 conclusion support,0,skipped,2.14576721191e-06,
